Locations,Latitude,Longitude
Santiago Papasquiaro,25.0,-105.0
Santo Tomas,31.0,-116.0
Satevo,27.0,-106.0
Sauceda,25.0,-101.0
Saucillo,28.0,-105.0
Gayula,19.0,-103.0
Sebastian Vizcaino B.,28.0,-114.0
Sierra Madre,16.0,-93.0
Sierra Mojada,27.0,-103.0
Silacayoapan,17.0,-98.0
Simojovel,17.0,-92.0
Sonora,29.0,-111.0
Sonora,28.0,-111.0
Sonoyta,31.0,-112.0
Soto la Marina,23.0,-97.0
Sotuta,20.0,-89.0
Symon,24.0,-102.0
Tabasco,17.0,-93.0
Tamazula,24.0,-106.0
Tamiahua L. de,21.0,-97.0
Tampico,22.233105, -97.861099
Tapachula,14.0,-92.0
Taxco de Alarcon,18.0,-99.0
Teapa,18.0,-92.0
Tecate,18.0,-103.0
Tecoripa,28.0,-109.0
Tehuacan,18.0,-97.0
Tehuantepec G. de,15.0,-95.0
Tekax,20.0,-89.0
Temax,21.0,-88.0
Tenancingo,19.0,-99.0
Tepic,21.0,-104.0
Tequila,20.0,-103.0
Ticul,20.0,-89.0
Tierra Colorado,17.0,-99.0
Tizimin,21.0,-88.0
Tlacotalpan,18.0,-95.0
Tlaxcala,19.0,-98.0
Tlaxcala,19.0,-98.0
Toluca,19.0,-99.0
Tomatlan,19.0,-105.0
Tonala,16.0,-93.0
Torin,27.0,-110.0
Trinidad,17.0,-95.0
Tula Hidalgo,20.0,-99.0
Tula Tamaulipas,23.0,-99.0
Tututepec,16.0,-97.0
Tuxpan,20.0,-97.0
Tuxtia Gutierrez,16.0,-93.0
Uxmal,20.0,-89.0
Valladolid,20.0,-88.0
Valle de Ias Palmas,32.0,-116.0
Valle de Suchil,23.0,-103.0
Valle Hermoso,25.0,-97.0
Valparaiso,22.0,-103.0
Ventana Punta de la,24.0,-109.0
Veracruz,19.0,-96.0
Verde Chihuahua,26.0,-107.0
"Verde, Veracruz",21.0,-102.0
Victoria de Durango/Durango,24.0,-104.0
Vigia Chico,19.0,-87.0
Villa Ahumada,30.0,-106.0
Villa Frontera,26.0,-101.0
Villa Ocampo,26.0,-105.0
Villa Union,23.0,-106.0
villagran,24.0,-99.0
Villahermosa,17.0,-92.0
"Vizcaino,Sierra",27.0,-114.0
Yalkubul Putna,21.0,-88.0
Yaqui,27.0,-110.0
Yecora,28.0,-108.0
Yucatan,21.0,-86.0
Zacapu,19.0,-101.0
Zacatecas,22.0,-102.0
Zamora,20.0,-102.0
